MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-741050506-10-3-2,DUBLEXO SOFA DARK WOOD,741050506,"DUBLEXO SOFA SEAT, 45""X83""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Dark Wood,21.55,137.94,3,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"82""","5 1/4""","2 3/4""",28.60,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741050521-10-3-2,DUBLEXO SOFA DARK WOOD,741050521,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,21.55,137.94,3,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"82""","5 1/4""","2 3/4""",28.60,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741050527-10-3-2,DUBLEXO SOFA DARK WOOD,741050527,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,21.55,137.94,3,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"82""","5 1/4""","2 3/4""",28.60,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741050XXX-10-3-2,DUBLEXO SOFA DARK WOOD,741050XXX,"DUBLEXO SOFA SEAT, 45""X83""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,21.55,137.94,3,Approx 12-14 WEEKS ,$985,"$1,095","$2,295","$2,515","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"82""","5 1/4""","2 3/4""",28.60,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741050506-8-2,DUBLEXO SOFA STAINLESS STEEL,741050506,"DUBLEXO SOFA SEAT, 45""X83""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Stainless Steel,21.57,136.71,2,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"77""",7 3/4,2 1/4,28.91,,,,,,,,,,,,,,,,,,,,,,,,
95-741050521-8-2,DUBLEXO SOFA STAINLESS STEEL,741050521,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Stainless Steel,21.57,136.71,2,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"77""","7 3/4""","2 1/4""",28.91,,,,,,,,,,,,,,,,,,,,,,,,
95-741050527-8-2,DUBLEXO SOFA STAINLESS STEEL,741050527,"DUBLEXO SOFA SEAT, 45""X83""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Stainless Steel,21.57,136.71,2,6-10 DAYS,$855,$950,"$1,995","$2,185","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"77""","7 3/4""","2 1/4""",28.91,,,,,,,,,,,,,,,,,,,,,,,,
95-741050XXX-8-2,DUBLEXO SOFA STAINLESS STEEL,741050XXX,"DUBLEXO SOFA SEAT, 45""X83""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Stainless Steel,21.55,137.94,3,Approx 12-14 WEEKS ,$985,"$1,095","$2,295","$2,515","84""","47""","8""","45""X79""/82""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"83 3/4""","47""","9""",107.8,"77""","7 3/4""","2 1/4""",28.91,,,,,,,,,,,,,,,,,,,,,,,,
95-741051506-10-3-2,DUBLEXO CHAIR DARK WOOD,741051506,"DUBLEXO CHAIR SEAT, 45""X35""",ELEGANCE PAPRIKA,506,ELEGANCE PAPRIKA,Dry cleaning,Dark Wood,9.86,65.34,3,6-10 DAYS,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"35 1/2""","7 1/2""","2 3/4""",16.28,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741051521-10-3-2,DUBLEXO CHAIR DARK WOOD,741051521,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,9.86,65.34,3,6-10 DAYS,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"35 1/2""","7 1/2""","2 3/4""",16.28,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
95-741051527-10-3-2,DUBLEXO CHAIR DARK WOOD,741051527,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,9.86,65.34,3,6-10 DAYS,$450,$500,$995,"$1,150","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"35 1/2""","7 1/2""","2 3/4""",16.28,"10 1/2""","4""","3 1/4""",1.54,,,,,,,,,,,,,,,,,,,,
